Category,"Sub Category",Title,Description,Breakdown,Value,Percentage
Demographics,"Demographic - Religion",Counts,"Count of number of participants attending in report period grouped by religion",Christianity,19,34.55%
Demographics,"Demographic - Religion",Counts,"Count of number of participants attending in report period grouped by religion",Muslim,6,10.91%
Demographics,"Demographic - Religion",Counts,"Count of number of participants attending in report period grouped by religion","No religion affiliation or belief",14,25.45%
Demographics,"Demographic - Religion",Counts,"Count of number of participants attending in report period grouped by religion","Not Specified",4,7.27%
Demographics,"Demographic - Other","Counts - Disability","Count of number of participants attending in report period grouped by locally defined categories",No,30,54.55%
Demographics,"Demographic - Other","Counts - Disability","Count of number of participants attending in report period grouped by locally defined categories",Yes,8,14.55%
Demographics,"Demographic - Other","Counts - Disability","Count of number of participants attending in report period grouped by locally defined categories","Not Specified",17,30.91%
Demographics,"Demographic - Other","Counts - Education, training, employment status","Count of number of participants attending in report period grouped by locally defined categories","In college",1,1.82%
Demographics,"Demographic - Other","Counts - Education, training, employment status","Count of number of participants attending in report period grouped by locally defined categories","In employment",4,7.27%
Demographics,"Demographic - Other","Counts - Education, training, employment status","Count of number of participants attending in report period grouped by locally defined categories","In school",27,49.09%
Demographics,"Demographic - Other","Counts - Education, training, employment status","Count of number of participants attending in report period grouped by locally defined categories",Unknown,6,10.91%
Demographics,"Demographic - Other","Counts - Education, training, employment status","Count of number of participants attending in report period grouped by locally defined categories","Not Specified",17,30.91%
Demographics,"Demographic - Other","Counts - Has this person been referred to you as part of the MOPAC funded sessions?","Count of number of participants attending in report period grouped by locally defined categories",No,14,25.45%
Demographics,"Demographic - Other","Counts - Has this person been referred to you as part of the MOPAC funded sessions?","Count of number of participants attending in report period grouped by locally defined categories",Unknown,15,27.27%
Demographics,"Demographic - Other","Counts - Has this person been referred to you as part of the MOPAC funded sessions?","Count of number of participants attending in report period grouped by locally defined categories",Yes,9,16.36%
Demographics,"Demographic - Other","Counts - Has this person been referred to you as part of the MOPAC funded sessions?","Count of number of participants attending in report period grouped by locally defined categories","Not Specified",17,30.91%
Demographics,"Demographic - Other","Counts - If yes, where have they been referred from?","Count of number of participants attending in report period grouped by locally defined categories","Gang Task Force Teams",2,3.64%
Demographics,"Demographic - Other","Counts - If yes, where have they been referred from?","Count of number of participants attending in report period grouped by locally defined categories","Police Service",2,3.64%
Demographics,"Demographic - Other","Counts - If yes, where have they been referred from?","Count of number of participants attending in report period grouped by locally defined categories","Probation Services",1,1.82%
Demographics,"Demographic - Other","Counts - If yes, where have they been referred from?","Count of number of participants attending in report period grouped by locally defined categories","Youth Offending Service",2,3.64%
Demographics,"Demographic - Other","Counts - If yes, where have they been referred from?","Count of number of participants attending in report period grouped by locally defined categories","Not Specified",48,87.27%
Demographics,"Demographic - Other","Counts - Photo/Filming Consent","Count of number of participants attending in report period grouped by locally defined categories",No,18,32.73%
Demographics,"Demographic - Other","Counts - Photo/Filming Consent","Count of number of participants attending in report period grouped by locally defined categories",Unknown,4,7.27%
Demographics,"Demographic - Other","Counts - Photo/Filming Consent","Count of number of participants attending in report period grouped by locally defined categories",Yes,16,29.09%
Demographics,"Demographic - Other","Counts - Photo/Filming Consent","Count of number of participants attending in report period grouped by locally defined categories","Not Specified",17,30.91%
Demographics,"Demographic - Other","Counts - Referral Agency","Count of number of participants attending in report period grouped by locally defined categories",PCT,1,1.82%
Demographics,"Demographic - Other","Counts - Referral Agency","Count of number of participants attending in report period grouped by locally defined categories","Self Referral",6,10.91%
Demographics,"Demographic - Other","Counts - Referral Agency","Count of number of participants attending in report period grouped by locally defined categories","Not Specified",48,87.27%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","16-19 yrs",3,5.45%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","20-25 years",7,12.73%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","N/A - Unknown",4,7.27%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","Year 1",9,16.36%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","Year 2",6,10.91%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","Year 3",1,1.82%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","Year 4",2,3.64%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","Year 5",2,3.64%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","Year 7",1,1.82%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","Year 8",5,9.09%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","Year 9",2,3.64%
Demographics,"Demographic - Other","Counts - Year Group/Age Category","Count of number of participants attending in report period grouped by locally defined categories","Not Specified",13,23.64%
Impact,"Engagement and Progression","Number of participants moving up four levels on any one session group during report period",,,1,
Impact,"Engagement and Progression","Number of participants moving up three levels on any one session group during report period",,,3,
Impact,"Engagement and Progression","Number of participants moving up two levels on any one session group during report period",,,3,
Impact,"Engagement and Progression","Number of participants moving up one level on any one session group during report period",,,5,
Impact,"Engagement and Progression","Number of participants maintaining levels on any one session group during report period",,,10,
Impact,"Engagement and Progression","Number of participants moving down one level on any one session group during report period",,,3,
Impact,"Engagement and Progression","Number of participants moving down two levels on any one session group during report period",,,3,
Impact,"Engagement and Progression","Number of participants moving down three levels on any one session group during report period",,,0,
Impact,"Engagement and Progression","Number of participants moving down four levels on any one session group during report period",,,1,
Impact,Outcomes,Count,"Count of number of participants attending in report period who achieved the listed outcome","Barclays PL Works - Returned to Education",3,
Impact,Outcomes,Count,"Count of number of participants attending in report period who achieved the listed outcome","PL Enterprise - Improved confidence and self-esteem",1,
Impact,Outcomes,Count,"Count of number of participants attending in report period who achieved the listed outcome","PL Girls Football - made transition into affiliated football",1,
Impact,Outcomes,Count,"Count of number of participants attending in report period who achieved the listed outcome","PL Girls Football - progressed into County FA (district/regional representational team)",1,
Impact,Outcomes,Count,"Count of number of participants attending in report period who achieved the listed outcome","PL School Sport - Progressed to Academy",2,
Impact,Outcomes,Count,"Count of number of participants attending in report period who achieved the listed outcome","Referred on to another project at the Community Scheme",16,
Impact,Outcomes,Count,"Count of number of participants attending in report period who achieved the listed outcome","Volunteering on other Community Scheme projects",19,
Impact,Qualifications,Count,"Count of number of participants attending in report period who achieved the listed qualification","FA Level 1",1,
Impact,Qualifications,Count,"Count of number of participants attending in report period who achieved the listed qualification","FA Youth Award",1,
Impact,Qualifications,Count,"Count of number of participants attending in report period who achieved the listed qualification","FA Youth Module 1",6,
Impact,Qualifications,Count,"Count of number of participants attending in report period who achieved the listed qualification","First Aid",1,
